sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-A6-2678-11	TCGA-A6-2678-11	9.924	12.05	12.07	11.79	11.43	11.86	11.66	Solid Tissue Normal
TCGA-DM-A0XF-01	TCGA-DM-A0XF-01	9.921	12.64	10.69	10.88	11.73	11.28	12.07	Primary Tumor
TCGA-G4-6628-01	TCGA-G4-6628-01	9.909	12.15	10.18	11.87	10.68	10.74	11.76	Primary Tumor
TCGA-F4-6460-01	TCGA-F4-6460-01	9.893	12.27	10.25	11.48	11.54	11.19	10.95	Primary Tumor
TCGA-NH-A6GB-01	TCGA-NH-A6GB-01	9.892	12.95	10.37	12.03	11.87	10.92	11.73	Primary Tumor
TCGA-AZ-6600-11	TCGA-AZ-6600-11	9.892	12.37	11.41	11.68	10.9	11.41	11.8	Solid Tissue Normal
TCGA-G4-6320-01	TCGA-G4-6320-01	9.888	12.24	11.14	11.43	11.2	11.02	11.79	Primary Tumor
TCGA-CM-6166-01	TCGA-CM-6166-01	9.88	12.03	10.67	11.64	11.32	11.23	11.79	Primary Tumor
TCGA-F4-6854-01	TCGA-F4-6854-01	9.865	12.47	11.05	11.59	11.94	11.19	11.82	Primary Tumor
TCGA-AY-A8YK-01	TCGA-AY-A8YK-01	9.861	12.81	10.8	12.09	12.26	10.89	11.57	Primary Tumor
TCGA-G4-6310-01	TCGA-G4-6310-01	9.855	11.82	11.67	11.78	11.27	11.5	11.55	Primary Tumor
TCGA-DM-A28F-01	TCGA-DM-A28F-01	9.85	12.78	10.46	11.46	12.01	10.99	12.32	Primary Tumor
TCGA-NH-A5IV-01	TCGA-NH-A5IV-01	9.843	12.5	10.61	11.78	10.78	10.59	11.58	Primary Tumor
TCGA-AA-3496-11	TCGA-AA-3496-11	9.84	11.77	11.44	11.83	10.97	11.24	11.65	Solid Tissue Normal
TCGA-AA-3697-11	TCGA-AA-3697-11	9.839	12.78	11.61	11.91	11.3	11.42	12.43	Solid Tissue Normal
TCGA-A6-5660-01	TCGA-A6-5660-01	9.832	12.18	11.4	11.66	10.65	11.25	11.51	Primary Tumor
TCGA-DM-A1D6-01	TCGA-DM-A1D6-01	9.827	11.96	11.24	11.36	11.38	11.43	10.95	Primary Tumor
TCGA-D5-6535-01	TCGA-D5-6535-01	9.825	12.67	11.44	12.02	11.83	12.19	11.68	Primary Tumor
TCGA-QG-A5Z1-01	TCGA-QG-A5Z1-01	9.819	12.38	11.51	11.56	11.2	11.55	11.94	Primary Tumor
TCGA-AZ-6601-11	TCGA-AZ-6601-11	9.811	12.29	11.64	11.76	11.3	11.62	11.64	Solid Tissue Normal
TCGA-AD-6963-01	TCGA-AD-6963-01	9.807	12.78	10.78	12	11.83	10.94	12	Primary Tumor
TCGA-QG-A5YX-01	TCGA-QG-A5YX-01	9.799	12.48	11.21	11.88	11.45	11.37	12.07	Primary Tumor
TCGA-DM-A1HA-01	TCGA-DM-A1HA-01	9.79	12.85	10.68	12	11.47	10.73	11.37	Primary Tumor
TCGA-G4-6294-01	TCGA-G4-6294-01	9.78	11.88	9.616	11.35	11.48	11.97	12.12	Primary Tumor
TCGA-AA-3660-01	TCGA-AA-3660-01	9.779	11.89	10.72	11.34	11.23	10.66	11.97	Primary Tumor
TCGA-D5-6540-01	TCGA-D5-6540-01	9.778	12.36	10.6	11.63	11.22	11.4	11.79	Primary Tumor
TCGA-AA-3526-01	TCGA-AA-3526-01	9.776	11.97	9.931	11.29	11.62	10.41	12.7	Primary Tumor
TCGA-AA-3663-11	TCGA-AA-3663-11	9.774	12.16	11.53	11.92	11.22	11.64	11.77	Solid Tissue Normal
TCGA-NH-A8F7-06	TCGA-NH-A8F7-06	9.771	12.17	11.02	11.85	12.41	11.04	11.83	Metastatic
TCGA-T9-A92H-01	TCGA-T9-A92H-01	9.77	12.82	11.04	11.63	10.89	11.12	11.85	Primary Tumor
TCGA-DM-A285-01	TCGA-DM-A285-01	9.764	12.32	11.37	11.76	11.31	11.52	11.62	Primary Tumor
TCGA-DM-A0X9-01	TCGA-DM-A0X9-01	9.758	11.91	10.09	11.38	11.58	10.86	11.89	Primary Tumor
